site_no,site_id,pairname,lag0,lag1,lag2,lag3,lag4,lag5,lag123,paircode,stationtype,stationcode,stationname,dec_lat_va,dec_long_va,km^2,elev_m
06614800,551,joewright,0.1709222991919251,0.01362741365655933,0.3246145001232192,0.11534910882654308,-0.18089219159346415,0.02939539908456364,0.3249834247970957,1,USGS,6614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO",40.49609409,-105.8650119,3.98858169,3166.872
07083000,369,malta,0.4078279144067491,0.11548765699998748,0.10746582102505849,0.01672768407549173,-0.05595840628151866,-0.2526248872440968,0.31872760427809477,13,USGS,7083000,"HALFMOON CREEK NEAR MALTA, CO",39.17221259,-106.3891926,60.864720592896,2996.184
08246500,431,conejos,0.4042698064225178,0.18819986617741769,0.13732010347756304,0.06661671017295698,-0.26246547317637176,-0.2828795245728788,0.385892152532729,11,USGS,8246500,"CONEJOS RIVER NEAR MOGOTE, CO.",37.05390016,-106.1875269,730.376647114752,2521.820712
09032100,838,fraser,0.3139765260174324,-0.03165717407003739,0.17891320455965465,0.19493490354325776,-0.18039254048600825,-0.19407467451097665,0.23240121221852897,2,USGS,9032100,"CABIN CREEK NEAR FRASER, CO.",39.9858203,-105.7450064,12.58734222,2913.888
09034900,335,jonespass,0.1338852682730068,-0.25439829033393035,-0.02526231631259836,0.13035361613870333,0.11181303121814004,-0.10926153585044024,-0.08956781649659151,3,USGS,9034900,"BOBTAIL CREEK NEAR JONES PASS, CO",39.76026447,-105.9064014,14.50393342,3179.064
09066300,842,vail,0.5370345419556881,0.31520310981903377,0.36216606808344287,0.3112909024791645,-0.213275163991352,0.05503668450681653,0.5803178383170321,10,USGS,9066300,"MIDDLE CREEK NEAR MINTURN, CO.",39.6458193,-106.3822512,15.43632913760256,2499.36
09073300,542,aspen,0.3881521021927332,0.14469835979682413,0.3676208356307707,0.23551111837501487,0.09249940470640972,-0.01801121768477621,0.4693302264859529,12,USGS,9073300,"ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.",39.14109959,-106.7742039,196.3210987634688,2474.976
09081600,618,crystalredstone,0.40163843636566127,0.16631351192399188,0.327346406640209,-0.01151443850094969,-0.08815323654293288,-0.10835914013649216,0.4815331594791737,9,USGS,9081600,"CRYSTAL RIVER ABV AVALANCHE CRK, NEAR REDSTONE, CO",39.23263889,-107.2275,432.52801442611195,2104.644
09107000,680,taylorriver,0.5570607915501559,-0.019116034210489002,0.09734734971271317,0.2324661403774224,-0.30127975602778934,-0.09342435429753145,0.35364486641699594,8,USGS,9107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",38.86027127,-106.5666966,331.518478123008,2846.832
09112200,380,crestedbutte,0.5294067218735921,-0.08295139319740313,0.1982344779016136,0.02886535174920612,-0.12888025431743266,-0.00535386064180192,0.3393696004795692,7,USGS,9112200,"EAST RIVER BELOW CEMENT CREEK NR CRESTED BUTTE, CO",38.7841599,-106.8708736,619.0071583703041,2572.512
09165000,586,dolores,0.01363549154529553,0.052133055525665,0.01703306228060601,0.05740046113045196,-0.13510634684981326,0.0959086017718942,0.04760411138495393,5,USGS,9165000,"DOLORES RIVER BELOW RICO, CO",37.638889,-108.059722,274.538739695616,2567.0256
09238900,457,steamboat,0.27852473329408844,0.01319668872393341,-9.546520906769692e-4,-0.07949872902396544,-0.09129517016092632,-0.23874992445790125,0.22525842432215928,6,USGS,9238900,"FISH CR AT UPPER STA NR STEAMBOAT SPRINGS, CO",40.4749775,-106.7869926,66.3036956246016,2179.32
